feature,importance
price_per_sqft_estimate,2454
square_feet,1932
assessment_total,1242
assessment_building,905
assessment_land,839
bedroom_to_sqft_ratio,607
land_to_building_ratio,577
lot_size_acres,550
appraised_total,512
dist_to_highway,323
bedrooms,302
location_median_price,230
lot_size_sqft,224
appraised_land,224
dist_to_train_station,202
year_built,196
dist_to_water,180
dist_to_downtown,178
appraised_building,172
total_rooms,168
bathrooms,167
location_sales_volume,131
location_price_per_sqft,113
zip_price_per_sqft,76
baths_full,71
zip_sales_volume,58
neighborhood_median_price,54
baths_half,52
assessment_to_appraisal_ratio,46
city_prestige_index,45
property_age,43
zip_median_price,40
city_median_price,25
property_type_encoded,20
neighborhood_price_per_sqft,10
effective_age,8
property_type_target_encoded,5
location_level,1
has_neighborhood,0
